Mes,Player,Regiao,Faixa_Etaria,Plano,Genero_Preferido,Dispositivo_Principal,Assinantes,Novos_Assinantes,Cancelamentos,Churn_Pct,Market_Share_Pct,Preco_Mensal,Horas_Assistidas_Mes,Satisfacao,NPS,Titulos_Catalogo,Lancamentos_Mes,CAC,Receita_Estimada
2025-01,Streamly,Sudeste,35-44,Padrão,Séries,Console,12220,1097,670,5.49,34.53,39.9,37.9,8.37,67,5034,27,35.91,487578.0
2025-01,Streamly,Sudeste,35-44,Padrão,Filmes,Celular,12681,611,712,5.62,34.17,39.9,36.7,8.36,65,5268,29,28.24,505971.9
2025-01,Streamly,Sudeste,35-44,Padrão,Documentários,Notebook,14069,677,795,5.66,33.86,39.9,15.5,7.8,37,4962,29,29.01,561353.1
2025-01,Streamly,Sudeste,35-44,Padrão,Reality,Celular,18812,1539,971,5.16,35.59,39.9,31.5,8.64,68,4681,17,28.49,750598.8
2025-01,Streamly,Sudeste,35-44,Padrão,Infantil,Console,21022,1758,1138,5.42,32.34,39.9,40.4,8.04,46,5524,19,27.26,838777.8
2025-01,Streamly,Sudeste,35-44,Premium,Séries,Tablet,12710,1106,647,5.1,34.51,39.9,46.8,8.38,64,4683,31,28.68,507129.0
2025-01,Streamly,Sudeste,35-44,Premium,Filmes,Celular,16341,692,881,5.39,33.84,39.9,44.4,8.79,77,5576,18,33.33,652005.9
2025-01,Streamly,Sudeste,35-44,Premium,Documentários,Celular,16098,595,696,4.33,33.0,39.9,16.4,7.78,53,5878,31,24.27,642310.2
2025-01,Streamly,Sudeste,35-44,Premium,Reality,Notebook,13575,885,719,5.3,33.66,39.9,29.3,8.45,59,5202,42,32.56,541642.5
2025-01,Streamly,Sudeste,35-44,Premium,Infantil,Smart TV,15320,801,791,5.17,34.7,39.9,34.1,8.26,58,5432,31,33.57,611268.0
2025-01,Streamly,Sudeste,45-54,Com anúncios,Séries,Smart TV,16588,1335,947,5.71,33.63,39.9,43.3,7.84,44,5677,30,25.96,661861.2
2025-01,Streamly,Sudeste,45-54,Com anúncios,Filmes,Smart TV,4624,336,302,6.53,33.35,39.9,31.2,8.41,55,5095,24,30.4,184497.6
2025-01,Streamly,Sudeste,45-54,Com anúncios,Documentários,Smart TV,16206,1062,781,4.82,34.8,39.9,30.1,8.52,63,5667,22,40.83,646619.4
2025-01,Streamly,Sudeste,45-54,Com anúncios,Reality,Celular,20092,903,1073,5.34,34.16,39.9,29.2,8.69,70,5358,13,35.46,801670.8
2025-01,Streamly,Sudeste,45-54,Com anúncios,Infantil,Smart TV,19017,1332,906,4.77,31.13,39.9,33.9,7.88,56,5111,22,32.42,758778.3
2025-01,Streamly,Sudeste,45-54,Padrão,Séries,Smart TV,17473,1430,945,5.41,34.8,39.9,46.5,8.44,68,5092,18,23.77,697172.7
2025-01,Streamly,Sudeste,45-54,Padrão,Filmes,Smart TV,11889,637,640,5.38,33.92,39.9,30.2,8.31,72,5144,19,34.84,474371.1
2025-01,Streamly,Sudeste,45-54,Padrão,Documentários,Celular,9931,883,530,5.34,33.92,39.9,22.9,8.08,72,5636,22,33.54,396246.9
2025-01,Streamly,Sudeste,45-54,Padrão,Reality,Smart TV,10952,648,504,4.61,33.65,39.9,41.0,8.48,62,5282,35,22.44,436984.8
2025-01,Streamly,Sudeste,45-54,Padrão,Infantil,Smart TV,21374,1906,960,4.5,32.02,39.9,35.4,8.19,65,4578,27,26.96,852822.6
2025-01,Streamly,Sudeste,45-54,Premium,Séries,Notebook,12803,710,703,5.5,33.24,39.9,47.2,8.49,74,4837,25,21.03,510839.7
2025-01,Streamly,Sudeste,45-54,Premium,Filmes,Smart TV,12176,842,680,5.59,32.46,39.9,30.9,8.36,63,5211,25,26.66,485822.4
2025-01,Streamly,Sudeste,45-54,Premium,Documentários,Smart TV,13132,710,781,5.95,33.51,39.9,9.9,8.04,81,5058,10,28.83,523966.8
2025-01,Streamly,Sudeste,45-54,Premium,Reality,Celular,14335,1138,791,5.52,32.66,39.9,23.5,8.43,85,5260,21,30.01,571966.5
2025-01,Streamly,Sudeste,45-54,Premium,Infantil,Celular,8942,492,445,4.99,34.2,39.9,37.1,8.76,66,5405,26,24.92,356785.8
2025-01,Streamly,Sudeste,55+,Com anúncios,Séries,Celular,19243,974,821,4.27,33.61,39.9,40.5,8.3,65,4603,12,34.37,767795.7
2025-01,Streamly,Sudeste,55+,Com anúncios,Filmes,Notebook,6023,317,322,5.35,34.94,39.9,27.4,8.12,65,6033,26,33.71,240317.7
2025-01,Streamly,Sudeste,55+,Com anúncios,Documentários,Celular,17858,806,1051,5.89,34.75,39.9,19.8,8.17,69,5724,20,28.03,712534.2
2025-01,Streamly,Sudeste,55+,Com anúncios,Reality,Smart TV,14139,686,560,3.96,35.14,39.9,27.1,8.09,54,4879,22,38.79,564146.1
2025-01,Streamly,Sudeste,55+,Com anúncios,Infantil,Notebook,11392,587,658,5.78,33.93,39.9,33.4,8.06,59,5426,23,35.91,454540.8
2025-01,Streamly,Sudeste,55+,Padrão,Séries,Celular,14957,1165,677,4.53,33.75,39.9,48.4,7.91,50,5166,31,15.03,596784.3
2025-01,Streamly,Sudeste,55+,Padrão,Filmes,Tablet,11769,710,630,5.36,35.75,39.9,28.3,8.49,73,5220,27,29.69,469583.1
2025-01,Streamly,Sudeste,55+,Padrão,Documentários,Notebook,15553,751,877,5.64,34.93,39.9,10.8,7.9,67,4842,10,31.69,620564.7
2025-01,Streamly,Sudeste,55+,Padrão,Reality,Notebook,21291,1821,1063,5.0,34.62,39.9,31.1,8.08,53,5917,36,38.95,849510.9
2025-01,Streamly,Sudeste,55+,Padrão,Infantil,Smart TV,17992,944,979,5.44,34.77,39.9,41.2,8.61,77,5319,11,31.59,717880.8
2025-01,Streamly,Sudeste,55+,Premium,Séries,Celular,10520,711,647,6.15,36.02,39.9,46.3,8.64,72,5270,16,33.78,419748.0
2025-01,Streamly,Sudeste,55+,Premium,Filmes,Smart TV,10440,438,538,5.16,33.94,39.9,38.5,8.75,76,5215,22,23.42,416556.0
2025-01,Streamly,Sudeste,55+,Premium,Documentários,Celular,12388,445,679,5.48,32.5,39.9,13.1,8.4,75,5570,31,31.27,494281.2
2025-01,Streamly,Sudeste,55+,Premium,Reality,Notebook,11207,859,606,5.41,34.41,39.9,36.5,8.62,62,5088,25,29.59,447159.3
2025-01,Streamly,Sudeste,55+,Premium,Infantil,Notebook,15885,1152,771,4.85,33.4,39.9,36.0,8.38,69,4801,20,41.06,633811.5
2025-01,Streamly,Sul,18-24,Com anúncios,Séries,Celular,16113,899,650,4.04,32.61,39.9,45.1,7.83,55,5624,5,33.77,642908.7
2025-01,Streamly,Sul,18-24,Com anúncios,Filmes,Celular,11052,511,528,4.79,33.54,39.9,32.4,8.08,76,5082,37,31.25,440974.8
2025-01,Streamly,Sul,18-24,Com anúncios,Documentários,Smart TV,14673,843,792,5.4,34.16,39.9,26.3,9.09,89,5073,20,37.36,585452.7
2025-01,Streamly,Sul,18-24,Com anúncios,Reality,Smart TV,15975,1398,860,5.39,34.02,39.9,21.3,8.41,60,4695,23,31.59,637402.5
2025-01,Streamly,Sul,18-24,Com anúncios,Infantil,Smart TV,17908,671,891,4.98,32.39,39.9,37.8,8.15,55,5453,24,17.76,714529.2
2025-01,Streamly,Sul,18-24,Padrão,Séries,Smart TV,14956,1333,769,5.14,33.73,39.9,46.1,8.29,56,4789,16,33.02,596744.4
2025-01,Streamly,Sul,18-24,Padrão,Filmes,Notebook,13490,594,575,4.26,31.0,39.9,31.2,8.09,62,5090,31,26.27,538251.0
2025-01,Streamly,Sul,18-24,Padrão,Documentários,Smart TV,16676,773,902,5.41,32.16,39.9,21.3,8.33,61,5921,22,22.06,665372.4
2025-01,Streamly,Sul,18-24,Padrão,Reality,Smart TV,11233,831,608,5.42,33.1,39.9,27.9,8.44,78,5702,27,40.54,448196.7
2025-01,Streamly,Sul,18-24,Padrão,Infantil,Smart TV,13887,860,731,5.27,32.96,39.9,37.2,8.16,61,5344,22,31.53,554091.3
2025-01,Streamly,Sul,18-24,Premium,Séries,Smart TV,16569,769,1011,6.11,35.4,39.9,47.9,8.38,66,5529,30,32.48,661103.1
2025-01,Streamly,Sul,18-24,Premium,Filmes,Tablet,16717,1494,895,5.36,35.44,39.9,35.7,8.21,67,3923,11,34.16,667008.3
2025-01,Streamly,Sul,18-24,Premium,Documentários,Celular,10931,833,650,5.95,33.15,39.9,33.2,8.18,66,5765,24,23.98,436146.9
2025-01,Streamly,Sul,18-24,Premium,Reality,Smart TV,14875,626,752,5.06,32.36,39.9,35.6,8.11,60,5162,25,35.32,593512.5
2025-01,Streamly,Sul,18-24,Premium,Infantil,Smart TV,11354,990,564,4.97,35.33,39.9,40.2,7.95,46,5280,29,33.62,453024.6
2025-01,Streamly,Sul,25-34,Com anúncios,Séries,Celular,10085,878,507,5.03,34.4,39.9,49.4,8.18,77,5660,23,33.47,402391.5
2025-01,Streamly,Sul,25-34,Com anúncios,Filmes,Celular,15424,886,871,5.65,34.16,39.9,30.4,8.29,70,5201,26,35.69,615417.6
2025-01,Streamly,Sul,25-34,Com anúncios,Documentários,Smart TV,17646,1452,797,4.52,34.45,39.9,19.5,8.66,64,4842,24,29.08,704075.4
2025-01,Streamly,Sul,25-34,Com anúncios,Reality,Smart TV,17168,1263,922,5.37,34.41,39.9,34.1,8.4,65,4436,24,30.97,685003.2
2025-01,Streamly,Sul,25-34,Com anúncios,Infantil,Smart TV,19156,1592,943,4.92,34.24,39.9,35.4,8.42,76,5004,29,35.74,764324.4
2025-01,Streamly,Sul,25-34,Padrão,Séries,Notebook,18408,1568,967,5.26,34.84,39.9,40.7,8.11,66,4865,27,22.31,734479.2
2025-01,Streamly,Sul,25-34,Padrão,Filmes,Notebook,15383,783,683,4.44,36.93,39.9,34.7,8.67,74,5355,22,41.18,613781.7
2025-01,Streamly,Sul,25-34,Padrão,Documentários,Console,18962,1538,979,5.17,33.23,39.9,24.3,8.03,60,5131,16,29.39,756583.8
2025-01,Streamly,Sul,25-34,Padrão,Reality,Tablet,11804,1049,699,5.93,34.27,39.9,28.1,9.0,81,5147,27,31.43,470979.6
2025-01,Streamly,Sul,25-34,Padrão,Infantil,Console,13570,887,590,4.35,32.32,39.9,36.6,8.46,69,5478,25,26.41,541443.0
2025-01,Streamly,Sul,25-34,Premium,Séries,Notebook,14765,891,807,5.47,35.9,39.9,51.2,8.54,75,5409,27,23.32,589123.5
2025-01,Streamly,Sul,25-34,Premium,Filmes,Smart TV,10254,810,606,5.92,33.05,39.9,41.4,8.51,60,5115,24,31.55,409134.6
2025-01,Streamly,Sul,25-34,Premium,Documentários,Smart TV,13735,810,639,4.66,34.42,39.9,22.0,8.41,66,5135,22,43.4,548026.5
2025-01,Streamly,Sul,25-34,Premium,Reality,Celular,14146,567,666,4.71,31.48,39.9,27.6,8.23,63,5650,24,31.26,564425.4
2025-01,Streamly,Sul,25-34,Premium,Infantil,Notebook,15013,1145,589,3.92,36.06,39.9,35.3,7.8,61,5365,21,38.13,599018.7
2025-01,Streamly,Sul,35-44,Com anúncios,Séries,Smart TV,15644,885,836,5.35,35.16,39.9,48.5,8.16,63,5715,6,21.08,624195.6
2025-01,Streamly,Sul,35-44,Com anúncios,Filmes,Celular,13728,1106,600,4.37,33.69,39.9,29.7,8.05,75,5055,21,22.96,547747.2
2025-01,Streamly,Sul,35-44,Com anúncios,Documentários,Celular,14590,819,751,5.15,32.8,39.9,18.2,7.9,60,5346,14,36.98,582141.0
2025-01,Streamly,Sul,35-44,Com anúncios,Reality,Smart TV,17215,765,764,4.44,33.99,39.9,32.8,8.22,63,5736,31,29.2,686878.5
2025-01,Streamly,Sul,35-44,Com anúncios,Infantil,Notebook,21768,880,984,4.52,36.35,39.9,45.4,8.07,50,5029,26,30.28,868543.2
2025-01,Streamly,Sul,35-44,Padrão,Séries,Smart TV,12640,866,596,4.72,33.15,39.9,46.5,8.87,73,5134,19,12.44,504336.0
2025-01,Streamly,Sul,35-44,Padrão,Filmes,Smart TV,8662,693,393,4.54,31.3,39.9,33.8,8.63,75,5473,17,34.67,345613.8
2025-01,Streamly,Sul,35-44,Padrão,Documentários,Smart TV,12981,810,715,5.51,34.67,39.9,16.4,8.16,63,5314,18,31.19,517941.9
2025-01,Streamly,Sul,35-44,Padrão,Reality,Smart TV,17163,986,1013,5.9,35.86,39.9,39.4,8.05,69,5223,21,18.35,684803.7
2025-01,Streamly,Sul,35-44,Padrão,Infantil,Smart TV,9542,624,575,6.03,35.16,39.9,39.5,8.1,56,5471,23,43.18,380725.8
2025-01,Streamly,Sul,35-44,Premium,Séries,Smart TV,18497,909,1042,5.64,34.12,39.9,44.8,8.19,57,5431,28,35.15,738030.3
2025-01,Streamly,Sul,35-44,Premium,Filmes,Notebook,20072,745,1084,5.41,33.55,39.9,34.1,8.14,75,5327,22,39.36,800872.8
2025-01,Streamly,Sul,35-44,Premium,Documentários,Notebook,7950,662,416,5.23,34.96,39.9,15.4,8.36,83,5488,25,27.93,317205.0
2025-01,Streamly,Sul,35-44,Premium,Reality,Celular,7547,342,427,5.67,34.31,39.9,27.7,7.91,50,5218,9,35.3,301125.3
2025-01,Streamly,Sul,35-44,Premium,Infantil,Smart TV,14121,818,656,4.65,31.02,39.9,24.1,8.61,62,5481,19,33.83,563427.9
2025-01,Streamly,Sul,45-54,Com anúncios,Séries,Celular,21426,942,1158,5.41,33.76,39.9,51.0,7.93,54,5192,13,32.6,854897.4
2025-01,Streamly,Sul,45-54,Com anúncios,Filmes,Smart TV,16025,646,822,5.13,32.09,39.9,24.6,8.49,76,5294,26,44.02,639397.5
2025-01,Streamly,Sul,45-54,Com anúncios,Documentários,Celular,17302,639,879,5.08,37.25,39.9,24.1,8.1,57,4838,40,33.29,690349.8
2025-01,Streamly,Sul,45-54,Com anúncios,Reality,Tablet,18205,754,921,5.06,33.87,39.9,24.5,8.44,74,5869,27,28.37,726379.5
2025-01,Streamly,Sul,45-54,Com anúncios,Infantil,Notebook,13563,706,677,4.99,33.7,39.9,29.3,8.53,67,5331,16,40.3,541163.7
2025-01,Streamly,Sul,45-54,Padrão,Séries,Console,18358,770,1038,5.66,32.18,39.9,37.0,8.4,70,5394,25,33.04,732484.2
2025-01,Streamly,Sul,45-54,Padrão,Filmes,Tablet,19291,1090,969,5.03,30.56,39.9,25.2,8.26,75,4819,26,24.59,769710.9
2025-01,Streamly,Sul,45-54,Padrão,Documentários,Smart TV,20170,948,1100,5.45,33.35,39.9,31.3,7.83,55,5401,14,39.28,804783.0
2025-01,Streamly,Sul,45-54,Padrão,Reality,Notebook,14285,922,697,4.88,33.41,39.9,32.3,8.47,69,5379,21,46.61,569971.5
2025-01,Streamly,Sul,45-54,Padrão,Infantil,Smart TV,19413,1689,918,4.73,35.64,39.9,43.0,8.86,77,5123,22,33.73,774578.7
2025-01,Streamly,Sul,45-54,Premium,Séries,Celular,15634,692,883,5.65,32.91,39.9,48.3,8.53,68,4874,17,19.55,623796.6
2025-01,Streamly,Sul,45-54,Premium,Filmes,Smart TV,14707,855,525,3.57,33.47,39.9,39.6,7.99,62,4713,34,29.99,586809.3
2025-01,Streamly,Sul,45-54,Premium,Documentários,Notebook,23140,1856,1164,5.03,35.82,39.9,20.4,8.15,62,5061,34,30.2,923286.0
2025-01,Streamly,Sul,45-54,Premium,Reality,Celular,15317,848,826,5.4,36.14,39.9,27.4,8.54,74,5545,24,22.0,611148.3
2025-01,Streamly,Sul,45-54,Premium,Infantil,Smart TV,10005,761,526,5.26,31.88,39.9,37.9,8.58,70,5143,38,20.8,399199.5
2025-01,Streamly,Sul,55+,Com anúncios,Séries,Smart TV,20970,1550,1155,5.51,34.54,39.9,46.6,8.33,60,5507,14,33.3,836703.0
2025-01,Streamly,Sul,55+,Com anúncios,Filmes,Notebook,12842,789,623,4.86,33.97,39.9,32.2,8.03,63,4797,28,22.73,512395.8
2025-01,Streamly,Sul,55+,Com anúncios,Documentários,Celular,12813,618,689,5.38,35.59,39.9,24.5,8.25,64,5899,24,31.48,511238.7
2025-01,Streamly,Sul,55+,Com anúncios,Reality,Tablet,18134,1131,775,4.27,31.6,39.9,27.4,8.35,64,4522,15,11.75,723546.6
2025-01,Streamly,Sul,55+,Com anúncios,Infantil,Notebook,14340,878,830,5.79,33.49,39.9,37.1,8.6,76,5394,26,37.87,572166.0
2025-01,Streamly,Sul,55+,Padrão,Séries,Celular,22030,1828,1236,5.61,32.85,39.9,40.3,7.88,55,5493,25,30.27,878997.0
2025-01,Streamly,Sul,55+,Padrão,Filmes,Celular,14171,648,674,4.76,31.86,39.9,36.0,8.44,62,4996,21,21.37,565422.9
2025-01,Streamly,Sul,55+,Padrão,Documentários,Console,12449,531,702,5.65,34.93,39.9,20.0,8.26,58,4798,17,26.56,496715.1
2025-01,Streamly,Sul,55+,Padrão,Reality,Celular,15567,1205,673,4.33,34.88,39.9,29.9,8.31,66,4691,15,31.21,621123.3
2025-01,Streamly,Sul,55+,Padrão,Infantil,Smart TV,7250,289,424,5.85,34.41,39.9,40.8,8.26,64,4632,7,37.6,289275.0
2025-01,Streamly,Sul,55+,Premium,Séries,Celular,13405,1193,593,4.42,32.34,39.9,41.4,8.26,68,5312,25,42.04,534859.5
2025-01,Streamly,Sul,55+,Premium,Filmes,Smart TV,14807,895,872,5.9,35.36,39.9,32.4,7.94,62,5268,22,28.31,590799.3
2025-01,Streamly,Sul,55+,Premium,Documentários,Celular,14116,668,740,5.24,33.95,39.9,24.7,8.13,48,5313,18,35.04,563228.4
2025-01,Streamly,Sul,55+,Premium,Reality,Notebook,17666,839,937,5.31,35.41,39.9,19.3,8.58,74,5577,15,25.18,704873.4
2025-01,Streamly,Sul,55+,Premium,Infantil,Smart TV,14940,1243,865,5.8,34.34,39.9,42.9,7.86,55,4685,27,14.1,596106.0
2025-01,Streamly,Nordeste,18-24,Com anúncios,Séries,Celular,9777,765,501,5.13,34.06,39.9,44.1,8.59,67,5645,27,28.3,390102.3
2025-01,Streamly,Nordeste,18-24,Com anúncios,Filmes,Smart TV,9514,847,402,4.23,34.47,39.9,34.6,8.49,60,5164,36,39.34,379608.6
2025-01,Streamly,Nordeste,18-24,Com anúncios,Documentários,Celular,15783,1403,845,5.36,34.0,39.9,21.6,8.13,63,5357,22,19.69,629741.7
2025-01,Streamly,Nordeste,18-24,Com anúncios,Reality,Smart TV,16275,1074,821,5.05,33.13,39.9,25.9,7.92,68,4976,28,27.23,649372.5
2025-01,Streamly,Nordeste,18-24,Com anúncios,Infantil,Smart TV,14505,1102,711,4.91,35.05,39.9,31.1,7.91,59,4762,26,27.74,578749.5
2025-01,Streamly,Nordeste,18-24,Padrão,Séries,Smart TV,8917,676,408,4.58,34.24,39.9,45.7,8.18,65,5866,20,32.82,355788.3
2025-01,Streamly,Nordeste,18-24,Padrão,Filmes,Smart TV,14426,1276,569,3.95,33.3,39.9,33.4,8.46,70,4995,20,35.24,575597.4
2025-01,Streamly,Nordeste,18-24,Padrão,Documentários,Tablet,18665,789,902,4.84,32.32,39.9,27.6,8.78,68,5014,24,31.26,744733.5
2025-01,Streamly,Nordeste,18-24,Padrão,Reality,Smart TV,14892,904,656,4.41,33.74,39.9,35.6,8.17,61,4913,24,28.28,594190.8
2025-01,Streamly,Nordeste,18-24,Padrão,Infantil,Smart TV,16773,1292,934,5.57,32.43,39.9,35.1,8.11,58,5512,18,26.67,669242.7
2025-01,Streamly,Nordeste,18-24,Premium,Séries,Smart TV,13020,902,722,5.55,35.32,39.9,56.3,8.73,75,4788,18,26.59,519498.0
2025-01,Streamly,Nordeste,18-24,Premium,Filmes,Celular,11318,858,512,4.53,33.83,39.9,29.4,8.51,66,5225,14,42.94,451588.2
2025-01,Streamly,Nordeste,18-24,Premium,Documentários,Celular,16039,624,852,5.32,32.38,39.9,29.3,8.02,61,4347,17,35.81,639956.1
2025-01,Streamly,Nordeste,18-24,Premium,Reality,Celular,18882,661,1013,5.37,32.09,39.9,22.7,8.55,73,5094,11,28.72,753391.8
2025-01,Streamly,Nordeste,18-24,Premium,Infantil,Celular,14481,1017,717,4.96,33.32,39.9,40.2,8.29,62,5232,10,34.34,577791.9
2025-01,Streamly,Nordeste,25-34,Com anúncios,Séries,Celular,15138,738,624,4.13,35.15,39.9,46.4,7.81,57,5038,28,37.53,604006.2
2025-01,Streamly,Nordeste,25-34,Com anúncios,Filmes,Tablet,14087,1138,792,5.62,31.47,39.9,37.2,8.61,77,5501,34,24.87,562071.3
2025-01,Streamly,Nordeste,25-34,Com anúncios,Documentários,Smart TV,17615,1106,807,4.59,34.07,39.9,24.9,8.4,69,5109,34,24.7,702838.5
2025-01,Streamly,Nordeste,25-34,Com anúncios,Reality,Celular,15038,1154,658,4.38,35.05,39.9,20.8,7.97,50,5065,28,26.51,600016.2
2025-01,Streamly,Nordeste,25-34,Com anúncios,Infantil,Smart TV,13952,1139,761,5.46,34.81,39.9,37.2,8.13,65,4711,28,23.41,556684.8
2025-01,Streamly,Nordeste,25-34,Padrão,Séries,Celular,18584,1212,982,5.29,34.35,39.9,48.4,8.25,66,5505,20,26.69,741501.6
2025-01,Streamly,Nordeste,25-34,Padrão,Filmes,Celular,11274,533,631,5.6,31.81,39.9,41.1,8.75,80,5697,20,31.71,449832.6
2025-01,Streamly,Nordeste,25-34,Padrão,Documentários,Smart TV,15933,647,846,5.31,32.72,39.9,24.7,7.91,51,4802,8,29.14,635726.7
2025-01,Streamly,Nordeste,25-34,Padrão,Reality,Smart TV,9571,440,474,4.95,34.54,39.9,28.2,8.03,65,5154,28,22.87,381882.9
2025-01,Streamly,Nordeste,25-34,Padrão,Infantil,Celular,15515,609,843,5.44,33.44,39.9,40.5,8.1,38,5616,3,26.69,619048.5
2025-01,Streamly,Nordeste,25-34,Premium,Séries,Smart TV,13889,847,638,4.6,32.24,39.9,35.4,8.56,70,4782,19,23.88,554171.1
